time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
11200,987.268,10.05,1164.67,362.105,100.585,13.6427,0,99.6552,0.130655,0.00187022,-0.051692,0.000754263,0.0652835,0.025849,0.997532,5,73,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11250,987.988,10.05,1169.66,363.193,100.887,17.3823,0,99.3782,0.173472,0.00220481,-0.0515292,0.00113376,0.0866266,0.0257603,0.995907,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11300,988.924,10.051,1174.62,364.284,101.19,22.3425,0,98.6926,0.21634,0.00249999,-0.0518795,0.00155784,0.107955,0.0259201,0.993817,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11350,990.075,10.051,1179.56,365.379,101.494,26.0664,0,98.0896,0.2592,0.0027811,-0.0524982,0.00201355,0.129229,0.0262055,0.991266,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11400,991.44,10.052,1184.46,366.476,101.799,29.7765,0,97.3467,0.302007,0.00302331,-0.0531379,0.00250235,0.150417,0.0264907,0.988265,5,73,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11450,993.018,10.053,1189.3,367.21,102.003,34.6234,0,95.9468,0.344769,0.00299943,-0.0537558,0.00313289,0.17151,0.0267333,0.984815,5,74,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11500,994.806,10.053,1194.09,368.313,102.309,38.2736,0,94.8805,0.38757,0.00298404,-0.0540355,0.00373871,0.192543,0.0267959,0.980915,5,74,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11550,996.803,10.053,1198.81,369.42,102.617,43.0479,0,93.1507,0.430328,0.00297851,-0.0539928,0.00430882,0.213469,0.0266884,0.976576,5,74,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11600,999.006,10.053,1203.45,370.53,102.925,46.6135,0,91.7645,0.473135,0.00299928,-0.0537639,0.0048421,0.234321,0.0264813,0.971786,5,74,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11650,1001.41,10.053,1208.01,371.643,103.234,51.2481,0,89.6155,0.5158,0.00299686,-0.0534515,0.00536721,0.254998,0.0262207,0.966571,5,74,-1,1,0,-0.579834,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11700,1004.02,10.052,1212.47,372.76,103.544,54.7011,0,87.916,0.558508,0.00298085,-0.0532525,0.00590613,0.275579,0.0260023,0.960909,5,74,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11750,1006.82,10.052,1216.83,373.506,103.752,59.1,0,85.2736,0.601169,0.00297531,-0.0532226,0.0064576,0.296011,0.0258553,0.954813,5,75,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11800,1009.82,10.052,1221.08,374.628,104.063,62.4097,0,83.2719,0.643886,0.00299352,-0.0533659,0.00702236,0.316335,0.0257823,0.948271,5,75,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11850,1013,10.053,1225.21,375.754,104.376,66.6511,0,80.3243,0.686478,0.00297341,-0.0536698,0.00763038,0.336455,0.0257666,0.941316,5,75,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11900,1016.36,10.053,1229.21,376.883,104.69,69.794,0,78.0302,0.729053,0.00301315,-0.0540134,0.00821979,0.356414,0.0257659,0.933936,5,75,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11950,1019.9,10.053,1233.08,377.637,104.899,72.7861,0,75.5382,0.771618,0.00296714,-0.054381,0.00885668,0.376206,0.0257467,0.926136,5,76,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12000,1023.61,10.054,1236.8,378.772,105.214,76.6623,0,72.0621,0.814181,0.00299723,-0.0546022,0.00943255,0.395829,0.0256599,0.917917,5,76,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12050,1027.49,10.054,1240.36,379.91,105.531,79.5211,0,69.3764,0.856648,0.00296305,-0.0547157,0.0100143,0.415228,0.0254983,0.909305,5,76,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
12100,1031.53,10.054,1243.78,381.051,105.848,83.1036,0,65.5553,0.899206,0.00296817,-0.0547605,0.010562,0.434481,0.0253007,0.900263,5,77,-1,1,0,-0.610352,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
